ID,人物,传统,现标v1,语句
00267,李贽,中国,A,夫童心者，真心也；若以童心为不可，是以真心为不可也。——《焚书·童心说》
00268,墨子,中国,B,视人之国若视其国，视人之家若视其家，视人之身若视其身。——《墨子·兼爱中》
00269,德谟克利特,西方,B,众多世界生而又灭，循环不息。——〔译〕《残篇》DK B（第欧根尼·拉尔修 IX 转引）
00270,加缪,西方,B,真正的爱，是对他人脆弱的承认。——《鼠疫》〔意译〕
00271,第欧根尼,西方,A,"我白昼提着灯，在市集里寻找一个""真正的人""。——〔译〕《名哲言行录》卷六·41"
00272,墨子,中国,A,名不徒生，而誉不自长。——《墨子·修身》
00273,商羯罗,印度,B,天、地、空皆梵之相，非异于梵。——《伊莎奥义书注》〔译〕
00274,福柯,西方,B,规训社会把人安置进格子，使每个人都可被计算、被校正。——《规训与惩罚》〔意译〕
00275,韩非,中国,A,万物莫不有规矩。——《韩非子·解老》
00276,爱比克泰德,西方,A,你是一出戏中的演员，剧本由导演分配；他给你短的角色，你就演短的，给你长的，你就演长的。——《手册·17》〔译〕
00277,荀子,中国,B,义以分则和，和则一，一则多力，多力则强。——《荀子·王制》
00278,熊十力,中国,B,虚妄之见，生于执相而昧体。——《新唯识论·卷下》 〔意译〕
00279,熊十力,中国,A,心物非二。——《新唯识论·卷下》
00280,鲁米,伊斯兰波斯,A,在「对」「错」的想法之外，有一片原野，我将在那里与你相会。——《玛斯纳维·卷三》〔译〕
00281,康德,西方,B,没有内容的思想是空的，没有概念的直观是盲的。——《纯粹理性批判》（A51/B75）〔译〕
00282,康德,西方,B,理性的公开运用，必须是完全自由的。——《答复这个问题：什么是启蒙》（1784）〔译〕
00283,福柯,西方,B,人文学科对「人」的颂扬，恰恰发生在「人」即将消失之际。——《词与物·结语》〔意译〕
00284,释迦牟尼,印度,B,此有故彼有，此生故彼生；此无故彼无，此灭故彼灭。——《杂阿含经·卷十二》（缘起偈）
00285,嵇康,中国,A,心不存乎矜尚，故能越名教而任自然；情不系于所欲，故能审贵贱而通物情。——《释私论》
00286,陆九渊,中国,B,唐、虞之时，比屋可封；桀、纣之时，比屋可诛。——《语录》
00287,张载,中国,B,两不立，则一不可见；一不可见，则两之用息。——《正蒙·参两》
00288,尼采,西方,B,国家是一切冷酷怪物中最冷酷的。它说谎：「我，国家，就是人民。」——《查拉图斯特拉如是说·论新的偶像》
00289,朱熹,中国,B,穷理亦多端：或读书讲明义理，或论古今人物别其是非，或应接事物而处其当然。——《语类》卷十八
00290,安萨里,伊斯兰波斯,B,语言是思想的容器，容器破则酒洒。——《宗教学科的复兴》〔译〕
00291,伊壁鸠鲁,西方,B,原子与虚空实存，此外别无。——〔译〕《致希罗多德的信》LH
00292,罗素,西方,B,哲学应当被研究，不是为了它给出的确定答案，而是为了它提出的问题。——《哲学问题》〔译〕
00293,尼采,西方,B,现代人是一个碎片、一个断指、一个残缺不全的人。——《查拉图斯特拉如是说·论救赎》〔意译〕
00294,孟子,中国,B,得道者多助，失道者寡助。——《孟子·公孙丑下》
00295,墨子,中国,B,百工为方以矩，为圆以规，直以绳，正以悬。——《墨子·法仪》
00296,罗素,西方,B,婚姻制度若不随社会条件变化，便会成为压抑的源头。——《婚姻与道德》〔译〕
00297,冯友兰,中国,A,人生境界，由低而高，可分为四种：自然境界、功利境界、道德境界、天地境界。——《新原人·第一章》
00298,胡塞尔,西方,B,所谓外部世界，是超越于内在被给予性的「超越者」。——《纯粹现象学通论》§44〔译〕
00299,张载,中国,A,观书者，释己之疑，明己之未达。——《张子语录》
00300,王阳明,中国,B,圣人之所以为圣，只是其心纯乎天理而无人欲之杂。——《传习录》上
00301,尼采,西方,A,一个人成熟的标志，是重新找回童年游戏时的那份认真。——《善恶的彼岸》箴言94〔意译〕
00302,加缪,西方,A,人应当成为自己荒诞的主人。——《西西弗神话》〔意译〕
00303,韩非,中国,B,故明主之国，无书简之文，以法为教；无先王之语，以吏为师。——《韩非子·五蠹》
00304,王阳明,中国,B,天地万物，与人原是一体。其发窍之最精处，是人心一点灵明。——《传习录》下
00305,康德,西方,A,一个人若以说谎来图利，便在根本上放弃了作为理性存在者的尊严。——《论出于道德理由说谎的所谓权利》（1797）〔译〕
00306,王弼,中国,A,知人者，智而已矣，未若自知者，超智之上也。——《老子注·三十三章》
00307,顾炎武,中国,A,博学于文，行己有耻。——《亭林文集·与友人论学书》
00308,雅斯贝尔斯,西方,B,政治权力若僭越为绝对，便成为新的偶像。——《时代的精神状况》〔意译〕
00309,莱布尼茨,西方,B,上帝是原始单子，是万物之根源。——《单子论》第47节〔意译〕
00310,波普尔,西方,B,我们的知识只能是有限的，而我们的无知必然是无限的。——《猜想与反驳》〔译〕
00311,商鞅,中国,A,故先王不淫意于法之外，不为惠于法之内。——《商君书·修权》
00312,释迦牟尼,印度,B,五戒者：不杀生、不偷盗、不邪淫、不妄语、不饮酒。——《杂阿含经·卷三十三》
00313,韩非,中国,B,万乘之患，大臣太重；千乘之患，左右太信：此人主之所公患也。——《韩非子·孤愤》
00314,董仲舒,中国,B,君臣、父子、夫妇之义，皆取诸阴阳之道。——《春秋繁露·基义》
00315,朱熹,中国,A,古之君子，学以为己。——《语类》
00316,海亚姆,伊斯兰波斯,B,狮子与蜥蜴践踏往日宫殿。——《鲁拜集》〔译〕
00317,商羯罗,印度,B,梵无始无终、无内无外、无方无处，唯是「存在—觉知—极喜」（sat-cit-ānanda）。——商羯罗《梵经注》〔译〕
00318,顾炎武,中国,B,国家之患，莫大于用小人而弃君子。——《日知录》 〔意译〕
00319,胡塞尔,西方,A,先验自我是一切意义与存在认定的最终源头。——《纯粹现象学通论》§97〔译〕
00320,阿伦特,西方,A,思想，是「我」与「我自己」之间那场无声的对话。——《精神生活·思维》〔译〕
00321,康德,西方,B,共和国的政体，是唯一完全符合人类权利的宪政。——《永久和平论》（1795）〔译〕
00322,马可·奥勒留,西方,B,人们做出恶行，是因为不知道什么是善；一旦明白，就不会再犯。——《沉思录》卷十一·18 前后〔意译〕
00323,庄子,中国,A,唯道集虚。虚者，心斋也。——《庄子·人间世》
00324,加缪,西方,A,我宁愿要荒谬的清醒，不要舒适的盲信。——《西西弗神话》〔意译〕
00325,克尔凯郭尔,西方,A,至高的爱，是把一个人当作他应当成为的样子来爱。——《爱的作为》（本名）〔译〕
00326,苏格拉底,西方,B,无知的根源，在于以为自己知道。——柏拉图《申辩篇》29b〔译〕
00327,福柯,西方,A,我把写作当作一种实验，而非一种宣告。——《言与文》〔意译〕
00328,阿奎那,西方,A,节制是理性的守护；它约束那逾矩的欲。——《神学大全·II-II·q.141·a.1》〔译〕
00329,鲁米,伊斯兰波斯,A,沉默是神的言语，其余皆是蹩脚的翻译。——《玛斯纳维·卷六》〔译〕
00330,庄子,中国,A,朴素而天下莫能与之争美。——《庄子·天道》
00331,慧能,中国,A,世人性本清净，万法在自性。——《坛经》（敦煌本）
00332,笛卡尔,西方,A,心灵的知觉比身体的知觉更可靠。——《第一哲学沉思集》第二沉思〔意译〕
00333,朱熹,中国,B,虽是人欲，亦天理也（天理人欲，同行异情）。——《语类》卷十三
00334,陆九渊,中国,A,不患其无才，患其无识。——《语录》（卷三十五）
00335,马可·奥勒留,西方,A,常常问问自己：这件事对我而言是必要的吗？——不必做不必要的事，会省下许多烦恼。——《沉思录》卷四·24〔意译〕
00336,伊壁鸠鲁,西方,B,快乐的界限，在于痛苦的消除；越过此限，快乐不再增益。——〔译〕《主要学说》KD 3
00337,克里希那穆提,印度,A,只要你还在比较，就永远有冲突。——《重新认识你自己》〔译〕
00338,维特根斯坦,西方,B,规则的意义由共同体实践所固定。——《哲学研究》§240〔译〕
00339,帕斯卡,西方,B,时间是吞噬一切的河流，名誉与帝国亦不能幸免。——《思想录》〔意译〕⚠️
00340,孔子,中国,B,温故而知新，可以为师矣。——《论语·为政》
00341,王充,中国,A,人才有高下，知物由学，学之乃知，不问不识。——《论衡·实知》
00342,休谟,西方,B,德性的价值在于它带来的效用与愉悦。——《道德原则研究》〔意译〕
00343,朱熹,中国,A,循序而渐进，熟读而精思。——《读书之要》
00344,维特根斯坦,西方,A,自我不是实体，而是语言游戏中的占位。——《哲学研究》〔意译〕
00345,王充,中国,A,操行有常贤，仕宦无常遇。——《论衡·逢遇》
00346,塞涅卡,西方,B,人与人靠共同的约定（法律与习俗）相连；你既享其利，便当守其约。——《论恩惠·1·4》〔译〕
00347,加缪,西方,A,我的幸福是朴素的：阳光、海、与当下的身体。——《西西弗神话》〔意译〕
00348,波普尔,西方,B,国家是为了保护公民而设，而非公民为国家而存在。——《开放社会及其敌人》〔意译〕
00349,克里希那穆提,印度,A,自我形象，是人与人之间冲突的根源。——《重新认识你自己》〔译〕
00350,加缪,西方,B,当世界沉默，人必须自己说话。——《反抗者》〔意译〕
00351,阿伦特,西方,A,真正的自由，始于我不再把责任推给历史。——《责任与判断》〔意译〕
00352,维特根斯坦,西方,A,心灵的「内在」是语法构造，不是一个待窥探的房间。——《哲学研究》§428〔译〕
00353,孟子,中国,A,君子深造之以道，欲其自得之也。——《孟子·离娄下》
00354,朱熹,中国,B,天下未有无理之气，亦未有无气之理。——《语类》卷一
00355,加缪,西方,B,社会对默尔索的审判，审判的是他的「不表演」。——《局外人》〔意译〕
00356,李贽,中国,B,夫圣人之为心，公而已矣。——《焚书》
00357,商羯罗,印度,A,自我光耀，不假外照，如灯自明，无待他缘。——《伊莎奥义书注》〔译〕
00358,密尔,西方,B,公共舆论，应当被倾听，但不应被神化。——《论自由·第四章》〔译〕
00359,伊壁鸠鲁,西方,B,正义对所有人都相同，因为它是对互利的一种约定。——〔译〕《主要学说》KD 36
00360,程颢,中国,A,学者今日无可添，只有可减，减尽便没事。——《遗书》卷二上
00361,萨特,西方,A,价值的源头不在天，而在我的自由筹划。——《存在主义是一种人道主义》〔译〕
00362,僧肇,中国,B,然则万物果有其所以不有，有其所以不无。——《不真空论》
